symbol,year,month,change,mspr
CMCSA,2014,8,-378,-100.0
CMCSA,2014,6,-4881,-17.82623
CMCSA,2014,5,7753,2.185501
CMCSA,2014,4,-11769,-2.275192
CMCSA,2014,3,543074,9.026771
CMCSA,2014,2,-27376,-30.94732
CMCSA,2014,1,12975,44.872902
CMCSA,2013,12,221079,22.04483
CMCSA,2013,11,8607,3.4953845
CMCSA,2013,10,-5,-100.0
CMCSA,2013,9,1650,97.86477
CMCSA,2013,5,198401,8.495663
CMCSA,2013,4,114190,29.931849
CMCSA,2013,3,383291,31.485504
CMCSA,2013,2,-24116,-18.906206
CMCSA,2013,1,33455,40.993248
CMCSA,2012,12,-665397,-97.83452
CMCSA,2012,11,-350322,-18.587423
CMCSA,2012,10,-79509,-11.963598
CMCSA,2012,9,-361310,-10.506416
CMCSA,2012,8,47652,3.4246488
CMCSA,2012,6,-1083,-0.09258476
CMCSA,2012,5,-26281,-100.0
CMCSA,2012,4,-250934,-100.0
CMCSA,2011,3,244667,17.662312
CMCSA,2011,2,-3781,-0.15112351
CMCSA,2011,1,129322,31.24837
CMCSA,2010,12,-109754,-51.31713
CMCSA,2010,11,-1057224,-97.84291
CMCSA,2010,10,-17004,-78.37389
CMCSA,2010,8,-701500,-100.0
CMCSA,2010,3,-4140849,-90.62178
CMCSA,2010,1,6684,47.654358
CRM,2022,11,-8175,-90.76274
CRM,2022,10,-50005,-31.50457
CRM,2022,9,-85442,-43.188732
CRM,2022,8,-48427,-31.542986
CRM,2022,7,-37431,-27.649452
CRM,2022,6,-159581,-61.68073
CRM,2022,5,4123,4.492411
CRM,2022,4,18435,9.952975
CRM,2022,3,15391,8.086948
CRM,2022,2,4526,3.4240668
CRM,2022,1,4391,2.7154386
CRM,2021,12,-47242,-17.66307
CRM,2021,11,-64851,-30.17687
CRM,2021,10,3789,0.39424273
CRM,2021,9,0,0.0
CRM,2021,8,-21408,-2.1535664
CRM,2021,7,-1084,-0.10995766
CRM,2021,6,0,0.0
CRM,2021,3,-131780,-64.791145
CRM,2021,2,-2424,-3.147643
CRM,2021,1,-4778,-5.6324415
CRM,2020,12,3424,4.1956673
CRM,2020,11,6559,9.001578
CRM,2020,10,-327639,-70.21703
CRM,2020,9,-241194,-34.928215
CRM,2020,8,-157704,-23.066526
CRM,2020,7,-161992,-24.058552
CRM,2020,6,-383435,-36.738224
CRM,2020,5,-39185,-7.1797776
CRM,2020,4,-32951,-6.8843117
CRM,2020,1,-119,-100.0
CRM,2019,12,-228919,-21.367281
CRM,2019,11,-88017,-66.655815
CRM,2019,10,-117324,-97.35785
CRM,2019,9,0,0.0
CRM,2019,3,-126598,-39.203407
CRM,2019,2,-86489,-30.011208
CRM,2019,1,-111750,-44.313587
CRM,2018,12,-313028,-33.588425
CRM,2018,11,-94316,-31.180698
CRM,2018,10,-116706,-33.86218
CRM,2018,9,-327305,-35.730465
CRM,2018,8,-90037,-25.940758
CRM,2018,7,-102466,-27.736692
CRM,2018,6,-276163,-56.29718
CRM,2018,5,-94529,-12.212371
CRM,2018,4,-109663,-26.079006
CRM,2018,3,-111652,-26.705767
CRM,2018,2,-73965,-39.95538
CRM,2018,1,-108448,-52.58442
CRM,2017,12,-240188,-63.939304
CRM,2017,11,38159,5.2881613
CRM,2017,10,22,0.0038058334
CRM,2017,9,10681,5.3247123
CRM,2017,8,-254626,-34.77433
CRM,2017,7,-5275,-1.0304888
CRM,2017,6,-120000,-85.71429
CRM,2017,3,-4260,-0.39559606
CRM,2017,2,30384,4.9857407
CRM,2017,1,1959,0.24040025
CRM,2016,12,-414646,-97.390526
CRM,2016,11,-219556,-26.801989
CRM,2016,10,-212635,-54.47277
CRM,2016,9,-352710,-36.84833
CRM,2016,8,26140,3.3472567
CRM,2016,7,1180,0.14834818
CRM,2016,6,-155,-0.6161797
CRM,2016,4,148,100.0
CRM,2016,3,-577334,-84.36165
CRM,2016,2,-233274,-65.15087
CRM,2016,1,-342798,-81.74664
CRM,2015,12,-367323,-57.132393
CRM,2015,11,-206794,-39.50265
CRM,2015,10,-235263,-52.35804
CRM,2015,9,-3209,-0.39455226
CRM,2015,8,34277,5.3020563
CRM,2015,7,-5147,-0.8275172
CRM,2015,6,-2002,-0.3183741
CRM,2015,5,30980,5.0819044
CRM,2015,4,-263400,-54.914127
CRM,2015,3,-288299,-82.40481
CRM,2015,2,-209933,-39.125946
CRM,2015,1,-262900,-85.384865
CRM,2014,12,-300468,-59.451054
CRM,2014,11,-80504,-19.03834
CRM,2014,10,-475500,-64.892
CRM,2014,9,-40000,-100.0
CRM,2014,6,-422256,-80.509766
CRM,2014,5,37072,28.41376
CRM,2014,4,-1600,-4.540295
CRM,2014,3,-4097,-1.6094501
CRM,2014,2,48430,35.44817
CRM,2014,1,-1600,-1.5918814
CRM,2013,12,-87972,-59.892975
CRM,2013,11,62742,15.533582
CRM,2013,10,-19200,-2.2700133
CRM,2013,9,-6000,-100.0
CRM,2013,6,-4800,-17.391304
CRM,2013,5,241439,56.13594
CRM,2013,4,26839,19.55269
CRM,2013,3,-518,-0.4082791
CRM,2013,2,21877,23.202562
CRM,2013,1,11188,7.6851215
CRM,2012,12,149179,8.669181
CRM,2012,11,-95011,-44.237045
CRM,2012,10,-867,-4.6837015
CRM,2012,9,-136972,-90.84711
CRM,2012,8,-33740,-27.830017
CRM,2012,7,-1214,-8.917291
CRM,2012,6,-6409,-100.0
CRM,2011,3,-750,-1.7012975
CRM,2011,2,16081,32.965702
CRM,2011,1,0,0.0
CRM,2010,12,-595882,-83.21793
CRM,2010,11,-218600,-68.515045
CRM,2010,10,-237004,-77.44975
CRM,2010,9,-1000,-100.0
CRM,2010,3,-293930,-50.352726
CRM,2010,2,-184590,-56.60499
CRM,2010,1,-206180,-48.008904
CVX,2022,11,-53500,-33.333332
CVX,2022,8,-55925,-32.935226
CVX,2022,6,1275,100.0
CVX,2022,5,720,0.031564493
CVX,2022,3,0,0.0
CVX,2022,2,0,0.0
CVX,2022,1,0,0.0
CVX,2021,12,0,0.0
CVX,2021,11,0,0.0
CVX,2021,10,0,0.0
CVX,2021,5,10830,100.0
CVX,2021,2,3200,100.0
CVX,2021,1,1061,0.19848804
CVX,2020,12,0,0.0
CVX,2020,11,500,100.0
CVX,2020,9,2048,100.0
CVX,2020,8,-5750,-100.0
CVX,2020,5,12055,100.0
CVX,2019,12,0,0.0
CVX,2019,11,-16844,-27.324638
CVX,2019,9,-1760,-100.0
CVX,2019,8,-1000,-100.0
CVX,2019,1,0,0.0
CVX,2018,12,787,2.0893621
CVX,2018,11,-844,-4.253175
CVX,2018,10,0,0.0
CVX,2018,9,0,0.0
CVX,2018,7,0,0.0
CVX,2018,5,5612,2.0826685
CVX,2017,8,-2312,-1.6245995
CVX,2017,7,0,0.0
CVX,2017,3,0,0.0
CVX,2017,1,0,0.0
CVX,2016,12,968,2.6080396
CVX,2016,11,-5637,-6.8213997
CVX,2016,10,1365,100.0
CVX,2015,5,203958,100.0
CVX,2015,1,707,100.0
CVX,2014,12,987,6.5213084
CVX,2014,5,18310,4.6435547
CVX,2014,3,-3000,-100.0
CVX,2014,2,5000,100.0
CVX,2014,1,687,1.7576176
CVX,2013,12,0,0.0
CVX,2013,5,22453,8.893932
CVX,2012,8,15000,5.1546392
CVX,2012,5,3670,100.0
CVX,2011,5,3598,100.0
CVX,2011,2,10000,3.5536098
CVX,2011,1,0,0.0
CVX,2010,11,-2168,-100.0
DG,2022,11,77328,100.0
DG,2022,9,-107259,-33.333332
DG,2022,8,-24536,-32.106777
DG,2022,6,-5000,-33.333332
DG,2022,5,8647,34.282204
DG,2022,4,-60695,-80.1794
DG,2022,3,150471,88.251236
DG,2022,1,880,100.0
DG,2021,12,16196,2.126341
DG,2021,6,-485,-2.3909292
DG,2021,5,-6542,-0.9777956
DG,2021,4,-64170,-100.0
DG,2021,3,205129,79.69796
DG,2021,2,944,100.0
DG,2021,1,3194,100.0
DG,2020,12,-4036,-38.71834
DG,2020,9,-15890,-3.0267935
DG,2020,8,0,0.0
DG,2020,6,2638,10.219261
DG,2020,5,3804,1.1360242
DG,2020,4,-12958,-100.0
DG,2019,3,31699,100.0
DG,2019,2,1853,100.0
DG,2018,10,4401,65.715996
DG,2018,9,0,0.0
DG,2018,5,7794,99.97434
DG,2018,4,-18403,-100.0
DG,2018,3,37346,100.0
DG,2018,2,2112,100.0
DG,2017,9,-11257,-100.0
DG,2017,3,30702,86.00482
DG,2017,2,2681,100.0
DG,2016,12,-6376,-100.0
DG,2016,8,5000,100.0
DG,2016,3,5431,20.38281
DG,2016,2,2814,100.0
DG,2015,9,15,100.0
DG,2015,8,5000,100.0
DG,2015,7,7,100.0
DG,2015,6,-18415,-28.423912
DG,2015,5,11668,99.982864
DG,2015,4,5,100.0
DG,2015,3,-38279,-2.4269502
DG,2015,1,-4049,-100.0
DG,2014,5,5346,100.0
DG,2014,3,-237208,-52.045547
DG,2013,12,-872600,-89.11811
DG,2013,11,0,0.0
DG,2013,10,0,0.0
DG,2013,5,4840,100.0
DG,2013,4,-15620071,-99.97491
DG,2013,3,423284,39.378628
DG,2012,12,9790,38.293045
DG,2012,11,-27481741,-100.0
DG,2012,10,-103937461,-99.995094
DG,2012,9,419346,35.435814
DG,2012,6,-17729358,-99.93163
DG,2012,4,-18223390,-100.0
DG,2010,12,-14616610,-98.40074
DG,2010,1,1459,100.0
DISH,2022,9,110000,100.0
DISH,2022,8,700000,17.015997
DISH,2022,7,0,0.0
DISH,2022,6,-87492861,-20.045168
DISH,2022,5,1255000,2.4485416
DISH,2022,3,-606361,-2.0094607
DISH,2022,1,3567,48.909912
DISH,2021,12,-305,-0.002033292
DISH,2021,11,0,0.0
DISH,2021,9,540000,100.0
DISH,2021,3,6000,88.23529
DISH,2020,12,-320,-0.530504
DISH,2020,9,0,0.0
DISH,2020,7,-3685,-3.4736297
